Season_year,Season_div,Date,OPP,Result,T Score,O Score,MIN,PTS
2009-2010,Regular,Wed 4/14,POR,W,122,116,48.0,42
2009-2010,Regular,Tue 4/13,UTA,L,94,103,41.0,17
2009-2010,Regular,Sun 4/11,OKC,W,120,117,35.0,25
2009-2010,Regular,Sat 4/10,LAC,L,104,107,41.0,29
2009-2010,Regular,Wed 4/7,MIN,W,116,107,44.0,27
2009-2010,Regular,Tue 4/6,WSH,L,94,112,33.0,27
2009-2010,Regular,Sun 4/4,TOR,W,113,112,44.0,29
2009-2010,Regular,Fri 4/2,NYK,W,128,117,29.0,15
2009-2010,Regular,Wed 3/31,UTA,L,104,128,34.0,15
2009-2010,Regular,Sun 3/28,LAC,W,121,103,40.0,18
2009-2010,Regular,Sat 3/27,DAL,L,90,111,37.0,17
2009-2010,Regular,Wed 3/24,MEM,W,128,110,40.0,30
2009-2010,Regular,Mon 3/22,PHX,L,131,133,34.0,14
2009-2010,Regular,Sat 3/20,MEM,L,107,123,25.0,9
2009-2010,Regular,Mon 3/15,LAL,L,121,124,34.0,29
2009-2010,Regular,Sat 3/13,TOR,W,124,112,42.0,35
2009-2010,Regular,Thu 3/11,POR,L,105,110,33.0,15
2009-2010,Regular,Mon 3/8,NOP,L,131,135,34.0,12
2009-2010,Regular,Sat 3/6,CHA,L,90,101,48.0,25
2009-2010,Regular,Fri 3/5,ATL,L,122,127,48.0,31
2009-2010,Regular,Wed 3/3,ORL,L,90,117,32.0,9
2009-2010,Regular,Tue 3/2,MIA,L,106,110,43.0,18
2009-2010,Regular,Sat 2/27,DET,W,95,88,48.0,27
2009-2010,Regular,Thu 2/25,DEN,L,112,127,42.0,30
2009-2010,Regular,Tue 2/23,PHI,L,102,110,38.0,17
2009-2010,Regular,Sun 2/21,ATL,W,108,104,45.0,32
2009-2010,Regular,Fri 2/19,UTA,L,89,100,39.0,13
2009-2010,Regular,Wed 2/17,SAC,W,130,98,40.0,24
2009-2010,Regular,Tue 2/16,LAL,L,94,104,44.0,11
2009-2010,Regular,Wed 2/10,LAC,W,132,102,46.0,36
2009-2010,Regular,Mon 2/8,DAL,L,117,127,48.0,25
2009-2010,Regular,Sat 2/6,OKC,L,95,104,27.0,23
2009-2010,Regular,Wed 2/3,DAL,L,101,110,27.0,6
2009-2010,Regular,Tue 2/2,HOU,L,97,119,30.0,14
2009-2010,Regular,Sun 1/31,OKC,L,104,112,36.0,14
2009-2010,Regular,Fri 1/29,CHA,L,110,121,41.0,22
2009-2010,Regular,Wed 1/27,NOP,L,110,123,41.0,15
2009-2010,Regular,Tue 1/26,SAC,L,96,99,45.0,27
2009-2010,Regular,Sat 1/23,PHX,L,103,112,40.0,25
2009-2010,Regular,Fri 1/22,BKN,W,111,79,48.0,32
2009-2010,Regular,Wed 1/20,DEN,L,118,123,49.0,15
2009-2010,Regular,Mon 1/18,CHI,W,114,97,43.0,26
2009-2010,Regular,Fri 1/15,MIL,L,104,113,48.0,18
2009-2010,Regular,Wed 1/13,MIA,L,102,115,33.0,9
2009-2010,Regular,Mon 1/11,CLE,L,114,117,36.0,21
2009-2010,Regular,Fri 1/8,SAC,W,108,101,34.0,12
2009-2010,Regular,Wed 1/6,MIN,W,107,101,30.0,16
2009-2010,Regular,Tue 1/5,DEN,L,122,123,40.0,26
2009-2010,Regular,Sat 1/2,POR,L,89,105,29.0,9
2009-2010,Regular,Tue 12/29,LAL,L,118,124,23.0,15
2009-2010,Regular,Mon 12/28,BOS,W,103,99,11.0,0
2009-2010,Regular,Sat 12/26,PHX,W,132,127,27.0,13
2009-2010,Regular,Wed 12/23,NOP,L,102,108,47.0,17
2009-2010,Regular,Tue 12/22,MEM,L,108,121,41.0,14
2009-2010,Regular,Fri 12/18,WSH,L,109,118,46.0,27
2009-2010,Regular,Wed 12/16,SAS,L,91,103,25.0,8
2009-2010,Regular,Mon 12/14,PHI,L,101,117,36.0,14
2009-2010,Regular,Sat 12/12,DET,L,95,104,38.0,19
2009-2010,Regular,Fri 12/11,CHI,L,91,96,27.0,6
2009-2010,Regular,Wed 12/9,BKN,W,105,89,30.0,14
2009-2010,Regular,Mon 12/7,OKC,L,88,104,36.0,22
2009-2010,Regular,Sat 12/5,ORL,L,118,126,46.0,13
2009-2010,Regular,Thu 12/3,HOU,L,109,111,32.0,11
2009-2010,Regular,Tue 12/1,DEN,L,107,135,41.0,10
2009-2010,Regular,Mon 11/30,IND,W,126,107,20.0,7
2009-2010,Regular,Sat 11/28,LAL,L,97,130,36.0,13
2009-2010,Regular,Wed 11/25,SAS,L,104,118,34.0,11
2009-2010,Regular,Tue 11/24,DAL,W,111,103,35.0,18
2009-2010,Regular,Fri 11/20,POR,W,108,94,46.0,12
2009-2010,Regular,Wed 11/18,BOS,L,95,109,35.0,13
2009-2010,Regular,Tue 11/17,CLE,L,108,114,41.0,14
2009-2010,Regular,Sat 11/14,MIL,L,125,129,26.0,14
2009-2010,Regular,Fri 11/13,NYK,W,121,107,3.0,0
2009-2010,Regular,Wed 11/11,IND,L,94,108,21.0,6
2009-2010,Regular,Mon 11/9,MIN,W,146,105,30.0,8
2009-2010,Regular,Sun 11/8,SAC,L,107,120,31.0,9
2009-2010,Regular,Fri 11/6,LAC,L,90,118,22.0,5
2009-2010,Regular,Wed 11/4,MEM,W,113,105,28.0,7
2009-2010,Regular,Fri 10/30,PHX,L,101,123,39.0,12
2009-2010,Regular,Wed 10/28,HOU,L,107,108,36.0,14
2010-2011,Regular,Wed 4/13,POR,W,110,86,24.0,18
2010-2011,Regular,Mon 4/11,DEN,L,111,134,36.0,27
2010-2011,Regular,Sun 4/10,SAC,L,103,104,32.0,27
2010-2011,Regular,Wed 4/6,LAL,W,95,87,42.0,20
2010-2011,Regular,Tue 4/5,POR,W,108,87,42.0,28
2010-2011,Regular,Sat 4/2,DAL,W,99,92,32.0,12
2010-2011,Regular,Wed 3/30,MEM,L,91,110,31.0,6
2010-2011,Regular,Tue 3/29,OKC,L,114,115,49.0,35
2010-2011,Regular,Sun 3/27,WSH,W,114,104,28.0,10
2010-2011,Regular,Fri 3/25,TOR,W,138,100,36.0,23
2010-2011,Regular,Wed 3/23,HOU,L,112,131,30.0,16
2010-2011,Regular,Mon 3/21,SAS,L,96,111,20.0,8
2010-2011,Regular,Sun 3/20,DAL,L,73,101,31.0,11
2010-2011,Regular,Fri 3/18,PHX,L,97,108,35.0,15
2010-2011,Regular,Wed 3/16,DAL,L,106,112,32.0,10
2010-2011,Regular,Mon 3/14,SAC,L,119,129,24.0,19
2010-2011,Regular,Sun 3/13,MIN,W,100,77,38.0,24
2010-2011,Regular,Fri 3/11,ORL,W,123,120,40.0,22
2010-2011,Regular,Wed 3/9,BKN,L,90,94,30.0,15
2010-2011,Regular,Tue 3/8,CLE,W,95,85,39.0,23
2010-2011,Regular,Sun 3/6,PHI,L,117,125,35.0,22
2010-2011,Regular,Fri 3/4,BOS,L,103,107,32.0,9
2010-2011,Regular,Wed 3/2,WSH,W,106,102,37.0,29
2010-2011,Regular,Tue 3/1,IND,L,100,109,35.0,20
2010-2011,Regular,Sun 2/27,MIN,L,123,126,45.0,33
2010-2011,Regular,Fri 2/25,ATL,L,79,95,30.0,7
2010-2011,Regular,Tue 2/22,BOS,L,93,115,30.0,18
2010-2011,Regular,Wed 2/16,UTA,W,107,100,22.0,4
2010-2011,Regular,Tue 2/15,NOP,W,102,89,24.0,14
2010-2011,Regular,Sun 2/13,OKC,W,100,94,38.0,23
2010-2011,Regular,Thu 2/10,PHX,L,88,112,25.0,12
2010-2011,Regular,Wed 2/9,DEN,W,116,114,29.0,13
2010-2011,Regular,Mon 2/7,PHX,L,92,104,44.0,15
2010-2011,Regular,Sat 2/5,CHI,W,101,90,44.0,23
2010-2011,Regular,Thu 2/3,MIL,W,100,94,34.0,16
2010-2011,Regular,Sun 1/30,UTA,W,96,81,35.0,27
2010-2011,Regular,Fri 1/28,CHA,L,113,121,43.0,27
2010-2011,Regular,Wed 1/26,NOP,L,103,112,39.0,20
2010-2011,Regular,Mon 1/24,SAS,L,102,113,36.0,14
2010-2011,Regular,Sat 1/22,LAC,L,109,113,41.0,32
2010-2011,Regular,Fri 1/21,SAC,W,119,112,44.0,34
2010-2011,Regular,Wed 1/19,IND,W,110,108,33.0,11
2010-2011,Regular,Mon 1/17,BKN,W,109,100,23.0,13
2010-2011,Regular,Fri 1/14,LAC,W,122,112,27.0,23
2010-2011,Regular,Wed 1/12,LAL,L,110,115,38.0,15
2010-2011,Regular,Sun 1/9,LAC,L,91,105,26.0,8
2010-2011,Regular,Fri 1/7,CLE,W,116,98,25.0,15
2010-2011,Regular,Wed 1/5,NOP,W,110,103,40.0,21
2010-2011,Regular,Mon 1/3,ORL,L,90,110,35.0,15
2010-2011,Regular,Sat 1/1,MIA,L,107,114,36.0,15
2010-2011,Regular,Fri 12/31,CHA,W,96,95,36.0,24
2010-2011,Regular,Wed 12/29,ATL,L,93,103,29.0,9
2010-2011,Regular,Mon 12/27,PHI,W,110,95,28.0,17
2010-2011,Regular,Sat 12/25,POR,W,109,102,29.0,4
2010-2011,Regular,Wed 12/8,SAS,L,94,111,11.0,0
2010-2011,Regular,Tue 12/7,DAL,L,100,105,42.0,21
2010-2011,Regular,Sun 12/5,OKC,L,109,114,46.0,39
2010-2011,Regular,Thu 12/2,PHX,L,101,107,34.0,9
2010-2011,Regular,Tue 11/30,SAS,L,98,118,40.0,32
2010-2011,Regular,Sat 11/27,MIN,W,104,94,28.0,20
2010-2011,Regular,Fri 11/26,MEM,L,111,116,30.0,26
2010-2011,Regular,Wed 11/24,HOU,L,101,111,36.0,21
2010-2011,Regular,Mon 11/22,DEN,L,89,106,41.0,17
2010-2011,Regular,Sun 11/21,LAL,L,89,117,24.0,13
2010-2011,Regular,Fri 11/19,NYK,L,119,125,42.0,29
2010-2011,Regular,Mon 11/15,DET,W,101,97,30.0,21
2010-2011,Regular,Sat 11/13,MIL,L,72,79,30.0,7
2010-2011,Regular,Thu 11/11,CHI,L,90,120,31.0,17
2010-2011,Regular,Wed 11/10,NYK,W,122,117,45.0,25
2010-2011,Regular,Mon 11/8,TOR,W,109,102,36.0,34
2010-2011,Regular,Sun 11/7,DET,L,97,102,29.0,10
2010-2011,Regular,Fri 11/5,UTA,W,85,78,33.0,20
2010-2011,Regular,Fri 10/29,LAC,W,109,91,27.0,16
2010-2011,Regular,Wed 10/27,HOU,W,132,128,39.0,25
2011-2012,Regular,Sun 3/11,LAC,W,97,93,9.0,0
2011-2012,Regular,Sat 3/10,DAL,W,111,87,16.0,10
